Lexical item,Level,Avanzado,Inicial,Intermedio,Adulta,Infantil,Juvenil,Native
Beber,A1-A2,6,15,26,6,11,5,7
Bebida,A1-A2,0,6,5,3,1,0,1
Beca,B1,0,0,0,0,0,0,1
Becario,B1,0,0,0,0,0,0,0
Beisbolista,B1,0,0,0,0,0,0,0
Berenjena,B1,0,0,0,0,0,0,0
Biblioteca,B1,4,1,1,3,2,2,2
Bicicleta,A1-A2,0,2,6,1,0,1,4
Bidé,A1-A2,0,0,0,0,0,0,0
Bigote,A1-A2,1,7,3,6,5,2,6
Bilingüe,B2,0,1,0,0,0,0,0
Billete,B1,1,12,5,2,0,0,3
Billete de ida,A1-A2,0,0,1,0,0,0,0
Billete de ida y vuelta,A1-A2,0,0,1,0,0,0,0
Billete de lotería,B2,0,0,0,0,0,0,0
Billete de vuelta,A1-A2,0,0,0,0,0,0,0
Biografía,B1,0,0,1,0,1,0,1
Biosfera,B2,0,0,0,0,0,0,0
Biquini,A1-A2,0,0,0,0,0,0,0
Bisabuelo,B2,1,9,1,0,0,0,0
Bisnieto,B2,0,0,0,0,0,0,0
Bisutería,B1,0,0,0,0,0,1,1
Bizcocho,B1,0,0,0,1,3,0,0
Blanco,A1-A2,15,22,52,25,45,45,52
Blanco y negro,B1,0,0,1,0,0,0,3
Bloque de pisos,B1,0,0,0,0,0,0,0
Blusa,B1,1,0,4,5,0,6,0
Boca,A1-A2,10,4,27,19,25,44,16
Boca de metro,A1-A2,0,0,0,0,0,0,0
Bocadillo,A1-A2,2,4,1,0,1,1,0
Boda,B1,7,2,11,12,9,3,4
Bodas de plata,B1,0,0,0,0,0,0,0
Bodegón,B2,0,0,0,0,0,0,0
Bolivia,A1-A2,0,0,0,0,0,0,13
Boliviano,A1-A2,0,0,0,0,0,0,5
Bollería industrial,B2,0,0,0,0,0,0,0
Bolsa,B2,1,77,5,1,8,5,21
Bolsa de naranjas,A1-A2,0,0,0,0,0,0,0
Bolso,B1,2,11,4,0,0,1,1
Bolígrafo,A1-A2,1,1,1,0,0,1,1
Bombero,A1-A2,1,0,0,0,0,0,2
Bombo,B2,0,0,0,0,0,0,0
Borrador,A1-A2,0,0,0,0,0,0,5
Borrar,A1-A2,1,2,0,3,2,3,2
Bosque,A1-A2,17,0,7,3,67,7,5
Bota,B1,1,0,2,1,0,0,1
Botella,A1-A2,1,5,3,4,2,18,3
Botella de leche,A1-A2,0,1,0,0,0,0,0
Botiquín,B1,0,0,0,1,0,8,0
Botones,A1-A2,4,2,1,2,3,8,5
Botón de disparo,B1,0,0,0,0,0,0,0
Bragas,A1-A2,0,0,0,0,0,0,0
Brazo,A1-A2,21,17,27,25,18,44,21
Bricolaje,B1,0,0,0,0,0,0,0
Brindis,B1,0,0,0,0,0,0,1
Bronce,B2,0,0,0,1,0,0,9
Bronquitis,B2,0,0,0,0,0,0,0
Brotar,B1,0,0,0,1,0,0,0
Buceador,B1,0,0,0,0,0,0,0
Bucear,B1,0,0,0,0,1,0,0
Buen gusto,B2,2,0,0,0,0,0,0
Buen sueldo,B2,0,0,1,0,0,0,0
Buen tiempo,A1-A2,1,5,0,0,0,0,2
Buenas noches,A1-A2,1,0,1,1,0,1,0
Buenas vistas,B1,0,0,0,0,0,0,0
Buenos días,A1-A2,5,20,3,1,9,3,0
Bufanda,A1-A2,0,0,0,0,1,6,0
Bufé libre,B2,0,0,0,0,0,0,0
