litera_3,litera_1,litera_2
"('miedo', -0.04741384967065828)","('negro', -0.09291879725484119)","('bayardo', -0.04530313047727969)"
"('ayudar', -0.04670751898973756)","('muerto', -0.0919870670309591)","('comer', -0.04498853495358925)"
"('ciudad', -0.046041158074609276)","('además', -0.09187220996057593)","('espantapájaro', -0.04372724251819077)"
"('hermoso', -0.04565884187485826)","('tomar', -0.09115162769524464)","('presentar', -0.043634936239163646)"
"('saltar', -0.04536846731497306)","('profesor', -0.09093884987484768)","('coronavir', -0.0435213752213429)"
"('abuela', -0.044924706389752565)","('don', -0.09022623655460012)","('cole', -0.0435213752213429)"
"('cara', -0.04470082944669853)","('portero', -0.08966586883159554)","('hijo', -0.04344754530088186)"
"('cada', -0.04468039084648315)","('rubí', -0.08775040519866661)","('patio', -0.043299294191754135)"
"('amarillo', -0.04461180421443891)","('román', -0.08713262660370398)","('momento', -0.0431066332499812)"
"('isla', -0.04450444652974426)","('familia', -0.08414449711627754)","('tal', -0.04305784922550245)"
"('gustar', -0.04376864370269847)","('ahora', -0.0840879600171758)","('sino', -0.04279125619694794)"
"('coger', -0.04355859932279057)","('matar', -0.08376193275635399)","('humano', -0.0427814775432239)"
"('enanito', -0.04354784572532557)","('bayardo', -0.08350210049521632)","('animal', -0.04276636874955297)"
"('divertido', -0.04322626056359564)","('miré', -0.08312937628556086)","('camino', -0.04255797339075195)"
"('pasaron', -0.04274737989485192)","('realmente', -0.0821579443498523)","('contar', -0.04222782972555419)"
"('cazador', -0.0427060824478223)","('verdad', -0.08135855185318279)","('pan', -0.04160112585868338)"
"('coronavir', -0.042574167311755215)","('espino', -0.08027062566175557)","('planta', -0.0414086824251871)"
"('cole', -0.042574167311755215)","('cuyo', -0.08001763459554015)","('obispo', -0.04136372782708146)"
"('ay', -0.04248733978906371)","('modo', -0.07919982892654864)","('soldado', -0.04136093720620254)"
"('caer', -0.0421880110169249)","('aunque', -0.07915516224372507)","('necesario', -0.041359929501596324)"
"('espantapájaro', -0.0420146488284638)","('llevar', -0.07914520699517465)","('planeta', -0.041283300151168975)"
"('conseguir', -0.04199886642618557)","('calle', -0.07827672512080171)","('palacio', -0.04054201739956661)"
"('horno', -0.041717842751967146)","('acto', -0.07765659727020262)","('cisne', -0.04035521071298817)"
"('querido', -0.04137399320852834)","('fué', -0.07716460061171927)","('oficina', -0.039918949994343714)"
"('invierno', -0.041326454169425486)","('ojo', -0.07666583395071215)","('carlito', -0.039681392529692314)"
"('río', -0.04120747633266833)","('cielo', -0.07662046382050242)","('puerta', -0.03963249384950454)"
"('sristino', -0.0408564998358832)","('sino', -0.07650403564039733)","('drama', -0.03958426100033075)"
"('reino', -0.040835291592570135)","('obispo', -0.07624104827824099)","('reina', -0.0393452510226597)"
"('crecer', -0.04075522085784421)","('allá', -0.07609853434108535)","('reloj', -0.03931972151068884)"
"('frío', -0.0405433237941926)","('muerte', -0.07590698909837246)","('entrenar', -0.03906652582795797)"
"('fuego', -0.03994815760065766)","('entonces', -0.07586324408833366)","('querido', -0.03816803745579504)"
"('gato', -0.03965708360249792)","('sristino', -0.07560599689856518)","('lejano', -0.03812954570128885)"
"('taller', -0.03948777332347288)","('amistad', -0.07560200571243991)","('salón', -0.03808536678261831)"
"('carabás', -0.03944631676016221)","('casi', -0.07552440977323825)","('ventana', -0.03795699215364115)"
"('enorme', -0.03940976711660931)","('si', -0.07549677136961046)","('regresar', -0.037810080618744024)"
"('espejo', -0.0392011473420323)","('pardillo', -0.0744098565150392)","('sol', -0.03760440262598206)"
"('hoja', -0.03874097493915317)","('responder', -0.0743172281253337)","('esperar', -0.03736895865345902)"
"('amar', -0.0386690362415885)","('drama', -0.07431413012671641)","('nin', -0.03721370256643895)"
"('así', -0.03847062634687292)","('posibilidad', -0.07358322508030936)","('nuevo', -0.03687045563710982)"
"('aprender', -0.038446472852575374)","('estudiar', -0.07352023134215455)","('polar', -0.0365285740657981)"
"('semana', -0.03804510641254248)","('pregunta', -0.07182740034720873)","('osa', -0.0365285740657981)"
