Lexical item,Level,Topic,Subtopic,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context tree
Acuario,B1,Geografía y naturaleza,Safari fotográfico,[['acuario']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acuíferos ,B2,Medioambiente,Problemas medioambientales,[['acuífero']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acusado,B1,Justicia,En el juzgado,[['acusado']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acusar,B2,Justicia,Ley y orden,[['acusar']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acusar ,B1,Justicia,En el juzgado,[['acusar']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acuse de recibo,B2,Comunicación,Comunicación personal,"[['acuse', 'de', 'recibo']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acuse de recibo ,B1,Servicios,Servicio postal,"[['acuse', 'de', 'recibo']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Adelgazar,B1,Salud y cuidados personales,El cuerpo humano y la salud,[['adelgazar']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Adiós ,A1-A2,Relaciones sociales,Saludos,[['adiós']],2,33354,5.996282304970918e-05,0.00011945428066545678,"(4, 5, 4.5, 1, 4, 2.5)","{'decir', 'ahora', 'su', 'nuevo', 'con', 'manita', 'y', 'caperucita'}","[137, 30, 349, 51, 269, 1, 790, 11]",204.75,33354,0.006138694009713977,0.0038462437183810197,"(2.75, 14.75, 6.808947211332424, 1.75, 9.25, 4.214209602700475)"
Aditivos ,B2,Medioambiente,Problemas medioambientales,[['aditivo']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Adjuntar,B1,Medios de comunicación,Internet,[['adjuntar']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Administrativo,A1-A2,Trabajo,Profesiones,[['administrativo']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Admiración,B2,Individuo y relaciones personales,Valores y comportamientos personales,[['admiración']],2,33354,5.996282304970918e-05,6.766249260987014e-05,"(4, 5, 4.5, 5, 5, 5.0)","{'sol', 'curiosidad', 'especialmente', 'el', 'y', 'entre', 'despertar'}","[10, 8, 1, 1201, 790, 22, 23]",293.57142857142856,33354,0.008801685811939455,0.0028644783972998954,"(3.4285714285714284, 13.714285714285714, 6.971973371546031, 2.4285714285714284, 8.428571428571429, 4.701767994236101)"
Adolescencia ,B1,Individuo y relaciones personales,Relaciones personales,[['adolescencia']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Adolescente,B1,Individuo y relaciones personales,Relaciones personales,[['adolescente']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Adoptado ,B2,Individuo y relaciones personales,Relaciones familiares,[['adoptado']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Adoptar ,B1,Individuo y relaciones personales,Relaciones personales,[['adoptar']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
