Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
Transporte aéreo,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Transporte ferroviario,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Transporte marítimo,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Transporte público,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tranvía,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trapo,B1,1,73606,1.3585848979702741e-05,7.677465676385865e-05,"(8, 8, 8.0, 5, 5, 5.0)",407.75,73606,0.005539629921473792,0.003162192725472033,"(4.5, 21.75, 8.782336906725307, 2.25, 11.5, 5.2793522081729884)"
Trasbordador,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Traspasar un jugador,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trasplantar,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trastero,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tratamiento,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Traumatólogo,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Travieso,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trayecto,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trazo,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trece,A1-A2,1,73606,1.3585848979702741e-05,2.846252647473058e-05,"(10, 10, 10.0, 3, 3, 3.0)",693.0,73606,0.009414993342933999,0.0035984634792020588,"(3, 23, 8.516509775524982, 1.5, 10.5, 4.175524981897176)"
Treinta,A1-A2,8,73606,0.00010868679183762193,0.0002964565988099248,"(5, 18, 9.375, 3, 17, 7.375)",310.95652173913044,73606,0.004224608343601478,0.002556682619792224,"(3.1739130434782608, 24.73913043478261, 9.545304396332604, 2, 14.608695652173912, 5.791527928516195)"
Tren,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tres,A1-A2,37,73606,0.0005026764122490014,0.0007535439144417279,"(3, 19, 9.486486486486486, 3, 17, 6.243243243243243)",251.1764705882353,73606,0.0034124455966665123,0.002141133152813879,"(3.5176470588235293, 23.75294117647059, 9.700042473107267, 2.2823529411764705, 13.717647058823529, 5.856320483441481)"
Trescientos,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Triangular,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tribunal,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tribunal Constitucional,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trigésimo,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trillizo,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trineo,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tripulación,B2,1,73606,1.3585848979702741e-05,7.496199763502256e-05,"(10, 10, 10.0, 6, 6, 6.0)",736.0,73606,0.009999184849061218,0.0037091459125331953,"(4, 28.833333333333332, 10.042383777580582, 1.8333333333333333, 14.833333333333334, 5.670650275027052)"
Triste,B1,42,73606,0.0005706056571475152,0.0005418522468797043,"(3, 18, 9.714285714285714, 2, 11, 5.857142857142857)",285.3636363636364,73606,0.0038769072679351734,0.002284010118602033,"(3.961038961038961, 24.09090909090909, 9.91772075429032, 2.2987012987012987, 13.12987012987013, 5.823020565771985)"
Tristeza,B2,4,73606,5.4343395918810965e-05,7.080282243726218e-05,"(5, 16, 10.5, 4, 9, 6.75)",467.8235294117647,73606,0.006355779819739759,0.002967423700315291,"(3.0588235294117645, 26.941176470588236, 9.772662696102465, 1.8235294117647058, 14.470588235294118, 5.690572233287957)"
Triunfo,B2,3,73606,4.0757546939108224e-05,4.104733633453842e-05,"(5, 15, 10.0, 3, 7, 5.0)",564.1818181818181,73606,0.007664888978912292,0.0029435182299097076,"(4.2727272727272725, 23.454545454545453, 9.697976614839517, 2.1818181818181817, 13.181818181818182, 5.499366516260072)"
Triángulo,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trocear,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trofeo,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trompeta,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trompetista,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tronco,B1,3,73606,4.0757546939108224e-05,0.0003363119362072983,"(4, 10, 6.333333333333333, 4, 6, 4.666666666666667)",683.3636363636364,73606,0.009284075161856864,0.004064625191187207,"(3, 22.545454545454547, 7.585828656424918, 2.272727272727273, 12, 5.122299547849031)"
Tráfico,B2,5,73606,6.79292448985137e-05,0.0001804720080581696,"(4, 9, 5.6, 2, 8, 4.0)",526.8,73606,0.007157025242507405,0.00323424689815019,"(3.066666666666667, 22.266666666666666, 8.374868295431757, 1.6666666666666667, 12.333333333333334, 4.869141822781788)"
Trágico,B2,1,73606,1.3585848979702741e-05,1.5103211166660718e-05,"(17, 17, 17.0, 14, 14, 14.0)",752.25,73606,0.010219954894981387,0.003912986582283722,"(9.5, 25.5, 13.091034715560768, 7.5, 15.5, 9.667129034614025)"
Trípode,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tsunami,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tubo,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Turismo,A1-A2,1,73606,1.3585848979702741e-05,3.381374742154019e-05,"(7, 7, 7.0, 4, 4, 4.0)",332.0,73606,0.00451050186126131,0.0041327354996157275,"(2.3333333333333335, 29.333333333333332, 9.136078483150413, 1.1666666666666667, 15.5, 5.294196780798575)"
Turismo cultural,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Turismo de aventura,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Turismo de negocios,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Turismo de sol y playa,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Turismo rural,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Turista,B1,1,73606,1.3585848979702741e-05,3.6329807640207917e-05,"(27, 27, 27.0, 10, 10, 10.0)",280.3333333333333,73606,0.0038085663306433354,0.0028624258887979216,"(4.666666666666667, 29.333333333333332, 11.472466259230965, 2.6666666666666665, 12.333333333333334, 5.878257363551481)"
Turno,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Táctica,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Té,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tímido,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
