Lexical item;Level
ayudante;B1
ayudar;B1
ayunar;B2
ayuntamiento;A2
azúcar;A2
azúcar alto;B2
azafata;A2
azar;B2
azotar;B2
azucarero;B1
azul;A1
báscula;A2
béisbol;B1
bañador;A2
bañarse;A1
bañera;A2
bañera de hidromasaje;B2
baño;A1
baño público;B1
bacalao;A2
bacalao al pilpil;B2
bache;B2
bachiller;B1
bachillerato;B1
bailar;A1
bailarín;B1
baile;B1
bajar;A2
bajar el desempleo;B2
bajar el interés;B1
bajar el paro;B2
bajar el precio;B1
bajar el sueldo;B1
bajar la bolsa;B2
bajar la cabeza;B1
bajar la marea;B2
bajar la temperatura;B1
bajar las manos;B1
bajar los brazos;B1
bajar un programa;B1
bajarse;A2
bajarse de un autobús;B1
bajarse de un avión;B1
bajarse de un barco;B1
bajarse de un coche;B1
bajarse de un tren;B1
bajarse de una bicicleta;B1
bajarse de una moto;B1
bajarse música;B1
bajarse un archivo;B1
bajarse un programa;B1
bajito;A2
bajo;B1
bajo en azúcar;B2
bajo en calorías;B2
bajo en sal;B2
balón;B1
balón de baloncesto;B1
balón de fútbol;B1
bala;B2
ballena;B1
ballet;B1
balneario;B2
baloncestista;B1
baloncesto;A2
balonmano;B2
banco;A1
banda ancha;B1
banda armada;B2
banda de criminales;B2
banda de delincuentes;B2
banda organizada;B2
banda sonora;B2
banda terrorista;B2
bandeja;A2
bandera;A1
bandera amarilla;B2
bandera roja;B2
bandera verde;B2
banquete;B1
bar;A1
baraja;B2
barajar;B2
barato;A1
barba;A1
barbilla;B2
barca;B1
barco;A1
barco de pasajeros;B2
barco de pesca;B1
barco de vela;B2
barco pesquero;B2
barman;B2
barnizar;B2
barra;B1
barra de labios;B1
barra de pan;A2
barra de un bar;B1
barrer;B1
barrer las calles;B2
barriga;B1
barrio;A2
barrio comercial;B1
barrio industrial;B1
barrio residencial;B1
barro;B2
basado;B2
basar;B1
basarse;B2
basarse en un estudio;B2
basarse en una investigación;B2
base;B1
base de datos;B1
bastón;B1
basura;B1
basurero municipal;B2
bata;B2
batalla;B2
bate;B1
bateador;B1
batería;B1
batería de teléfono;B1
batidora;B2
batir huevos;B1
bautizar;B2
bautizo;B2
bebé;A2
beber;A1
bebida;A1
bebida con alcohol;A2
bebida con hielo;A2
bebida sin alcohol;A2
bebida sin hielo;A2
beca;B1
becario;B1
beisbolista;B1
belleza;B2
bendecir;B2
bendición;B2
beneficioso;B2
berenjena;B1
besar;B1
besarse;B1
biólogo;B1
biblia;B1
biblioteca;A1
biblioteca municipal;A2
biblioteca pública;A2
bicicleta;A1
bidé;A2
bien comunicado;A1
bien orientado;B2
bigote;A1
bilingüe;B2
billar;B1
billete;A1
billete de ida;A2
billete de ida y vuelta;A2
billete de lotería;B2
billete de vuelta;A2
biografía;B1
biológico;B2
biología;B1
biomasa;B2
biosfera;B2
biquini;A2
bisabuelo;B2
bisexual;B1
bisnieto;B2
bisutería;B1
bizcocho;B1
blanco;A1
blanco y negro;B1
blando;B1
bloque de pisos;B1
bloquear;A2
bloquearse el ordenador;B2
blusa;A2
boca;A1
