Lexical item;Level;Topic;Subtopic
Celular;B1;Medios de comunicación;Teléfono
Cemento;B2;Vivienda;La vivienda
Cena;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Cenar;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Censura;B2;Comunicación;Medios de comunicación
Central de seguridad;B2;Justicia;Ley y orden
Centro comercial;A1-A2;Ciudad;Ciudad
Centro de belleza;B2;Salud y cuidados personales;Higiene y belleza
Centro de flores;B1;Geografía y naturaleza;En el campo
Centro de salud;B2;Salud y cuidados personales;Salud y enfermedad
Centésimo;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Centímetro;B1;Formas y medidas;Formas y medidas
Centímetro cuadrado;B1;Formas y medidas;Formas y medidas
Centímetro cúbico;B1;Formas y medidas;Formas y medidas
Cepillar;B1;Geografía y naturaleza;En el campo
Cepillarse los dientes;A1-A2;Salud e higiene;Cuerpo e higiene personal
Cepillo de dientes;A1-A2;Salud e higiene;Cuerpo e higiene personal
Cera;B1;Salud y cuidados personales;El cuerpo humano y la salud
Cerdo;A1-A2;Geografía y naturaleza;Animales y plantas
Cereal;B1;Alimentación;Alimentación sana / menús, platos, recetas
Cereales;A1-A2;Alimentación;Alimentos
Ceremonia;B1;Individuo y relaciones personales;Celebraciones
Cereza;B1;Alimentación;Alimentación sana / menús, platos, recetas
Certamen;B2;Ocio;Deportes
Cerveza;B1;Alimentación;Alimentación sana / menús, platos, recetas
Cerveza de barril;B2;Alimentación;Alimentación nutritiva
Cerámica;B1;Ocio;Tiempo libre y entretenimiento
Chalé;A1-A2;Vivienda;Casa
Champú;A1-A2;Salud e higiene;Cuerpo e higiene personal
Chaqueta;B1;Compras y tiendas;Ropa, calzado y complementos
Chat;B2;Comunicación;Comunicación personal
Chatear;A1-A2;Información y medios de comunicación;Internet
Cheque;B1;Compras y tiendas;De compras
Chequeo;B2;Salud y cuidados personales;Salud y enfermedad
Chile;B1;Alimentación;Alimentación sana / menús, platos, recetas
Chileno;A1-A2;Ocio;Países de habla hispana y nacionalidades
Chimenea;A1-A2;Vivienda;Salón
Chocolate;B1;Alimentación;Alimentación sana / menús, platos, recetas
Chorizo;B1;Alimentación;Alimentación sana / menús, platos, recetas
Chuleta;B1;Alimentación;Alimentación sana / menús, platos, recetas
Chuleta de cerdo;B1;Alimentación;Alimentación sana / menús, platos, recetas
Ciar para una entrevista de trabajo;B2;Trabajo;Actividad laboral
Cicatriz;B2;Salud y cuidados personales;Salud y enfermedad
Ciclismo;B2;Ocio;Deportes
Ciclista;A1-A2;Ocio;Deportes
Ciego;B2;Individuo y relaciones personales;Sensaciones y percepciones
Cielo cubierto;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Cielo despejado;A1-A2;Geografía y naturaleza;Fenómenos atmosféricos
Cien;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Ciento uno;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Científico;B2;Ciencia y tecnología;Ciencia y tecnología
Cincel;B2;Artes;Artes plásticas
Cinco;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Cinco sentidos;B2;Individuo y relaciones personales;Sensaciones y percepciones
Cincuenta;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Cine;A1-A2;Ocio;Aficiones y espectáculos
Cine en blanco y negro;B1;Artes;Cine
Cine en color;B1;Artes;Cine
Cintura;B1;Salud y cuidados personales;El cuerpo humano y la salud
Cinturón;A1-A2;Compras y tiendas;Complementos y calzados
Cinturón de seguridad;B1;Viajes, alojamiento y transporte;La conducción
Circo;A1-A2;Ocio;Aficiones y espectáculos
Circuito laboral;B2;Trabajo;Actividad laboral
Circular;B1;Viajes, alojamiento y transporte;La conducción
Cirujano;B1;Salud y cuidados personales;En el hospital
Cisterna;B2;Vivienda;La vivienda
Cita;A1-A2;Salud e higiene;En el centro de salud
Clarinete;B1;Artes;Música y danza
Clarinetista;B1;Artes;Música y danza
Claroscuro;B2;Artes;Artes plásticas
Clase;A1-A2;Educación;Objetos y acciones del aula
Clasificado;B2;Ocio;Deportes
Clasificarse;B2;Ocio;Deportes
Cliente;B2;Compras y tiendas;De compras
Cobarde;B2;Individuo y relaciones personales;Valores y comportamientos personales
Cobertizo;B1;Geografía y naturaleza;En el campo
Cobertura;B1;Medios de comunicación;Teléfono
Cobrar;B1;Economía;Economía
Cocer;B1;Alimentación;Alimentación sana / menús, platos, recetas
Coche;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Cocido;B1;Alimentación;Alimentación sana / menús, platos, recetas
Cocina;A1-A2;Vivienda;Casa
Cocinar;A1-A2;Vivienda;Cocina
Cocinero;A1-A2;Trabajo;Profesiones
Cocodrilo;B1;Geografía y naturaleza;Safari fotográfico
Coger el teléfono;B1;Medios de comunicación;Teléfono
Cojín;A1-A2;Vivienda;Salón
Colaborar;B1;Ocio;Tiempo libre y entretenimiento
Colar;B1;Alimentación;Alimentación sana / menús, platos, recetas
Colchoneta;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Colchón;A1-A2;Vivienda;Dormitorio
Coleccionar;B1;Ocio;Tiempo libre y entretenimiento
Colección;B1;Ocio;Tiempo libre y entretenimiento
Colegio;A1-A2;Ciudad;Ciudad
Colegio laico;B2;Educación;Educación
Colegio privado;B1;Educación;Educación
Colegio público;B1;Educación;Educación
Colegio religioso;B2;Educación;Educación
Colesterol;B1;Alimentación;Alimentación sana / menús, platos, recetas
Colesterol alto;B2;Salud y cuidados personales;Salud y enfermedad
Colgar;B1;Medios de comunicación;Teléfono
Colgar el teléfono;A1-A2;Información y medios de comunicación;Teléfono
Colgar una foto;B1;Medios de comunicación;Internet
Collar;B1;Compras y tiendas;Ropa, calzado y complementos
Colmena;B1;Geografía y naturaleza;En el campo
Colombia;A1-A2;Ocio;Países de habla hispana y nacionalidades
Colombiano;A1-A2;Ocio;Países de habla hispana y nacionalidades
Colonia;A1-A2;Salud e higiene;Cuerpo e higiene personal
Color;B1;Artes;Arquitectura, escultura, pintura
Colorido;B2;Artes;Artes plásticas
Columna;B2;Individuo y relaciones personales;Sensaciones y percepciones
Columpiarse;B2;Ocio;Juegos y pasatiempos
Columpio;B2;Ocio;Juegos y pasatiempos
Comba;B2;Ocio;Juegos y pasatiempos
Combinar;B1;Compras y tiendas;Ropa, calzado y complementos
Combinar con;B1;Compras y tiendas;Ropa, calzado y complementos
Combustible;B2;Medioambiente;Problemas medioambientales
Comedia;B2;Artes;Literatura y teatro
Comedor;A1-A2;Vivienda;Casa
Comentar;B2;Comunicación;Comunicación personal
Comer;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Comer a la carta;B2;Alimentación;Alimentación nutritiva
Comer de menú;B2;Alimentación;Alimentación nutritiva
Comercial;B1;Trabajo;Trabajo
Comerciante;B2;Compras y tiendas;De compras
Cometer un delito;B2;Justicia;Ley y orden
Cometer un error;A1-A2;Educación;Objetos y acciones del aula
Comisaria;B1;Justicia;En el juzgado
Comisario;B2;Justicia;Ley y orden
Comisión;B1;Economía;Economía
Compartir piso;A1-A2;Vivienda;Casa
Compañero;A1-A2;Educación;Objetos y acciones del aula
Compañía telefónica;B2;Comunicación;Comunicación personal
Competición;B2;Ocio;Deportes
Competidor;B2;Ocio;Juegos y pasatiempos
Complejo de superioridad;B2;Individuo y relaciones personales;Valores y comportamientos personales
Complementos;B1;Compras y tiendas;Ropa, calzado y complementos
Comportarse bien;B2;Individuo y relaciones personales;Valores y comportamientos personales
Comportarse mal;B2;Individuo y relaciones personales;Valores y comportamientos personales
Composición;B1;Artes;Música y danza
Compositor;B1;Artes;Música y danza
Compra;B1;Vivienda;Vivienda
Compra compulsiva;B2;Compras y tiendas;De compras
Comprar;B1;Vivienda;Vivienda
Comprar a plazos;B1;Compras y tiendas;De compras
Comprar por Internet;B1;Compras y tiendas;De compras
Comprar por catálogo;B2;Compras y tiendas;De compras
Comprender;A1-A2;Educación;Objetos y acciones del aula
Comprometerse;B1;Individuo y relaciones personales;Relaciones personales
Compromiso;B1;Individuo y relaciones personales;Relaciones personales
Compuestos químicos;B2;Ciencia y tecnología;Ciencia y tecnología
Computadora;A1-A2;Trabajo;En la oficina
Comunicación audiovisual;B2;Comunicación;Comunicación personal
Comunicación de última hora;B2;Comunicación;Comunicación personal
Comunicación oficial;B2;Comunicación;Comunicación personal
Comunicación telefónica;B2;Comunicación;Comunicación personal
Comunicar;A1-A2;Información y medios de comunicación;Teléfono
Comunicarse oralmente;B2;Comunicación;Comunicación personal
Comunicarse por escrito;B2;Comunicación;Comunicación personal
Comunidad;B1;Vivienda;Vivienda
Comunidad de vecinos;B1;Vivienda;Vivienda
Con mucho gusto;A1-A2;Relaciones sociales;Saludos
Con tarjeta;B1;Compras y tiendas;De compras
Concierto;A1-A2;Ocio;Aficiones y espectáculos
Conciliación;B2;Economía;Economía y finanzas
Concurso;B1;Ocio;Tiempo libre y entretenimiento
Condenar;B2;Justicia;Ley y orden
Condimentar;B1;Alimentación;Alimentación sana / menús, platos, recetas
Conducción;B1;Viajes, alojamiento y transporte;La conducción
Conducir;B1;Viajes, alojamiento y transporte;La conducción
Conductor;A1-A2;Trabajo;Profesiones
Conectarse;B1;Medios de comunicación;Internet
Conejo;B1;Geografía y naturaleza;En el campo
Conexión;B2;Comunicación;Comunicación personal
Confirmar;B2;Ciencia y tecnología;Ciencia y tecnología
Confortable;B1;Compras y tiendas;Ropa, calzado y complementos
Congelador;B1;Labores domésticas;Labores domésticas
Congelados;A1-A2;Alimentación;Alimentos
Conocer el dato;B2;Comunicación;Comunicación personal
Conservador;B1;Individuo y relaciones personales;Cáracter y personalidad
Conservar;A1-A2;Vivienda;Cocina
Conservas;B1;Alimentación;Alimentación sana / menús, platos, recetas
Consigna;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Constitución;B1;Justicia;En el juzgado
Constructor;B2;Vivienda;La vivienda
Constructora;B2;Vivienda;La vivienda
Construir;B2;Vivienda;La vivienda
Consulta;B1;Medios de comunicación;Internet
Consultar;B1;Medios de comunicación;Internet
Consumidor;B2;Compras y tiendas;De compras
Consumismo;B2;Compras y tiendas;De compras
Contacto;B2;Individuo y relaciones personales;Sensaciones y percepciones
Contaminación;B2;Medioambiente;Problemas medioambientales
Contaminante;B2;Medioambiente;Problemas medioambientales
Contaminar;B2;Medioambiente;Problemas medioambientales
Contemporáneo;B2;Artes;Artes plásticas
Contenedor;B1;Medioambiente;Problemas medioambientales
Contenedores de reciclaje;B1;Medioambiente;Problemas medioambientales
Contento;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Contento como unas castañuelas;B2;Individuo y relaciones personales;Valores y comportamientos personales
Contestador automático;B1;Medios de comunicación;Teléfono
Continente;A1-A2;Geografía y naturaleza;Accidentes geográficos
Contractura;B2;Salud y cuidados personales;Salud y enfermedad
Contraindicaciones;B2;Salud y cuidados personales;Salud y enfermedad
Contraindicado;B2;Salud y cuidados personales;Salud y enfermedad
Contraseña;B1;Medios de comunicación;Internet
Contratar;B1;Trabajo;Trabajo
Contratar un seguro;B1;Vivienda;Vivienda
Contratar un seguro de hogar;B1;Vivienda;Vivienda
Contratar un viaje;B1;Viajes, alojamiento y transporte;Viajes, alojamiento y transporte
Contrato fijo;B1;Trabajo;Trabajo
Contrato indefinido;B2;Trabajo;Actividad laboral
Contrato temporal;B1;Trabajo;Trabajo
Control de seguridad;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Control policial;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Controlar la respiración;B1;Salud y cuidados personales;El cuerpo humano y la salud
Conversación en línea;B1;Medios de comunicación;Internet
Convivencia;B1;Individuo y relaciones personales;Relaciones personales
Convivir;B1;Individuo y relaciones personales;Relaciones personales
Cooperativa;B2;Economía;Economía y finanzas
Copa;A1-A2;Alimentación;Utensilios de cocina y de mesa
Copa de vino;A1-A2;Alimentación;Utensilios de cocina y de mesa
Copia;B2;Artes;Cine y fotografía
Copia oculta;B1;Medios de comunicación;Internet
Corazón;B1;Salud y cuidados personales;El cuerpo humano y la salud
Corbata;B1;Compras y tiendas;Ropa, calzado y complementos
Cordero;B1;Geografía y naturaleza;En el campo
Cordial;B2;Individuo y relaciones personales;Valores y comportamientos personales
Cordillera;A1-A2;Geografía y naturaleza;Accidentes geográficos
Corporal;B2;Individuo y relaciones personales;Sensaciones y percepciones
Corregir;B1;Educación;Educación
Correo certificado;B2;Comunicación;Comunicación personal
Correo electrónico;B2;Comunicación;Comunicación personal
Correo ordinario;B1;Servicios;Servicio postal
Correr;A1-A2;Ocio;Deportes
Correr las cortinas;A1-A2;Vivienda;Dormitorio
Correr riesgos;B2;Economía;Economía y finanzas
Correr ríos de tinta;B2;Comunicación;Comunicación personal
Corresponsal;B2;Comunicación;Medios de comunicación
Corrupción;B1;Justicia;En el juzgado
Cortar;B1;Geografía y naturaleza;En el campo
Cortar en trozos;B2;Alimentación;Alimentación nutritiva
Cortina;A1-A2;Vivienda;Dormitorio
Cortina de baño;A1-A2;Vivienda;Cuarto de baño
Cortometraje;B2;Artes;Cine y fotografía
Costa;A1-A2;Geografía y naturaleza;Accidentes geográficos
Costa Rica;A1-A2;Ocio;Países de habla hispana y nacionalidades
Costarricense;A1-A2;Ocio;Países de habla hispana y nacionalidades
Costilla;B2;Individuo y relaciones personales;Sensaciones y percepciones
Cotilla;B2;Individuo y relaciones personales;Valores y comportamientos personales
Cotizar;B2;Economía;Economía y finanzas
Creador;B2;Artes;Artes plásticas
Crecer;B2;Individuo y relaciones personales;Relaciones familiares
Crecimiento demográfico;B2;Medioambiente;Problemas medioambientales
Crema;A1-A2;Salud e higiene;Cuerpo e higiene personal
Crema hidratante;B2;Salud y cuidados personales;Higiene y belleza
Crema nutritiva;B2;Salud y cuidados personales;Higiene y belleza
Crisis;B1;Individuo y relaciones personales;Relaciones personales
Croqueta;B1;Alimentación;Alimentación sana / menús, platos, recetas
Crucero;B2;Viajes, alojamiento y transportes;Viajes y transportes
Cráter;B1;Medioambiente;Desastres naturales
Crédito;B2;Educación;Educación
Crítica;B2;Comunicación;Medios de comunicación
Crítico;B2;Artes;Literatura y teatro
Crítico de arte;B2;Artes;Artes plásticas
Crónica deportiva;B2;Comunicación;Medios de comunicación
Cuaderno;A1-A2;Educación;Objetos y acciones del aula
Cuadrado;B1;Formas y medidas;Formas y medidas
Cuadragésimo;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Cuadro;A1-A2;Vivienda;Salón
Cuadros;B1;Compras y tiendas;Ropa, calzado y complementos
Cuarenta;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Cuarto;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Cuarto de baño;A1-A2;Vivienda;Casa
Cuarto poder;B2;Comunicación;Comunicación personal
Cuatro;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Cuatrocientos;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Cuba;A1-A2;Ocio;Países de habla hispana y nacionalidades
Cubano;A1-A2;Ocio;Países de habla hispana y nacionalidades
Cubiertos;A1-A2;Alimentación;Utensilios de cocina y de mesa
Cubilete;B2;Ocio;Juegos y pasatiempos
Cubismo;B2;Artes;Artes plásticas
Cubo;B1;Labores domésticas;Labores domésticas
Cubo de fregar;B1;Labores domésticas;Labores domésticas
Cuchara;A1-A2;Alimentación;Utensilios de cocina y de mesa
Cuchilla;B1;Ocio;Deportes de invierno y aventura
Cuchilla de afeitar;B1;Salud y cuidados personales;El cuerpo humano y la salud
Cuchillo;A1-A2;Alimentación;Utensilios de cocina y de mesa
Cuello;A1-A2;Salud e higiene;Cuerpo e higiene personal
Cuenco;B2;Alimentación;Alimentación nutritiva
Cuenta;A1-A2;Alimentación;En el restaurante
Cuenta ahorro;B1;Economía;Economía
Cuenta corriente;B2;Economía;Economía y finanzas
Cuenta vivienda;B1;Economía;Economía
Cuerda;B1;Artes;Música y danza
Cuerpo de policía;B2;Justicia;Ley y orden
Cuidarse;A1-A2;Salud e higiene;Cuerpo e higiene personal
Culebrón;B1;Ocio;Tiempo libre y entretenimiento
Culpable;B2;Justicia;Ley y orden
Cultivar;B1;Geografía y naturaleza;En el campo
Cumpleaños;B1;Individuo y relaciones personales;Celebraciones
Cuota;B1;Economía;Economía
Curar la herida;B2;Salud y cuidados personales;Salud y enfermedad
Curioso;B2;Individuo y relaciones personales;Valores y comportamientos personales
Currículum;B1;Trabajo;Trabajo
Cursar;B1;Educación;Educación
Cursar estudios;B1;Educación;Educación
Curso;B1;Ocio;Tiempo libre y entretenimiento
Curso de perfeccionamiento;B2;Educación;Educación
Curso elemental;B2;Educación;Educación
Cursos de formación;B1;Trabajo;Trabajo
Cursos intensivos;B2;Educación;Educación
Curva;B2;Viajes, alojamiento y transportes;Viajes y transportes
Cutis;B2;Salud y cuidados personales;Higiene y belleza
Cuñado;B2;Individuo y relaciones personales;Relaciones familiares
Cálculo;B2;Ciencia y tecnología;Ciencia y tecnología
Cámara;B2;Artes;Cine y fotografía
Cárcel;B1;Justicia;En el juzgado
Célula;B2;Ciencia y tecnología;Ciencia y tecnología
Césped;B1;Geografía y naturaleza;En el campo
Círculo;B1;Formas y medidas;Formas y medidas
Cómic;B1;Artes;Literatura
Cómo estás;A1-A2;Relaciones sociales;Saludos
Cómoda;A1-A2;Vivienda;Dormitorio
Cómodo;B1;Compras y tiendas;Ropa, calzado y complementos
Cónyuge;B2;Individuo y relaciones personales;Relaciones familiares
Cúbico;B1;Formas y medidas;Formas y medidas
DVD;B1;Artes;Cine
Dados;B2;Ocio;Juegos y pasatiempos
Dar  miedo;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Dar asco;B2;Individuo y relaciones personales;Valores y comportamientos personales
Dar cariño;B2;Individuo y relaciones personales;Valores y comportamientos personales
Dar de alta el gas;B2;Vivienda;La vivienda
Dar de alta la luz;B2;Vivienda;La vivienda
Dar de baja el gas;B2;Vivienda;La vivienda
Dar de baja la luz;B2;Vivienda;La vivienda
Dar de baja la línea de teléfono;B2;Comunicación;Comunicación personal
Dar el alta;B1;Salud y cuidados personales;En el hospital
Dar en la diana;B2;Ocio;Juegos y pasatiempos
Dar igual;B2;Individuo y relaciones personales;Valores y comportamientos personales
Dar la mano;A1-A2;Relaciones sociales;Saludos
Dar lástima;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Dar línea;B2;Comunicación;Comunicación personal
Dar mal servicio;B2;Comunicación;Comunicación personal
Dar pena;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Dar puntos en una herida;B2;Salud y cuidados personales;Salud y enfermedad
Dar pánico;B2;Individuo y relaciones personales;Valores y comportamientos personales
Dar un abrazo;A1-A2;Relaciones sociales;Saludos
Dar un banquete;B2;Alimentación;Alimentación nutritiva
Dar un beso;A1-A2;Relaciones sociales;Saludos
Dar un paseo;B1;Salud y cuidados personales;El cuerpo humano y la salud
Dar una señal;B2;Vivienda;La vivienda
Darse rímel;B1;Salud y cuidados personales;El cuerpo humano y la salud
Darse un buen tute;B2;Educación;Educación
Darse una ducha;B2;Salud y cuidados personales;Higiene y belleza
Datos personales;B2;Trabajo;Actividad laboral
De boca en boca;B2;Comunicación;Comunicación personal
De cuadros;B1;Compras y tiendas;Ropa, calzado y complementos
De día;A1-A2;Fecha y hora;Hora
De fama internacional;B2;Alimentación;Alimentación nutritiva
De nada;A1-A2;Relaciones sociales;Saludos
De noche;A1-A2;Fecha y hora;Hora
De rayas;B1;Compras y tiendas;Ropa, calzado y complementos
Debajo;A1-A2;Trabajo;En la oficina
Debajo de;A1-A2;Trabajo;En la oficina
Debate;B1;Ocio;Tiempo libre y entretenimiento
Deberes;A1-A2;Educación;Objetos y acciones del aula
Debilidad;B2;Salud y cuidados personales;Salud y enfermedad
Debutar;B2;Ocio;Deportes
Decaído;B2;Salud y cuidados personales;Salud y enfermedad
Decimoctavo;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Decimocuarto;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Decimonoveno;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Decimoquinto;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Decimosexto;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Decimoséptimo;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Decimotercero;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Declaración oficial;B2;Comunicación;Comunicación personal
Declarar;B1;Justicia;En el juzgado
Declarar culpable;B1;Justicia;En el juzgado
Declarar inocente;B1;Justicia;En el juzgado
Decorado;B2;Artes;Cine y fotografía
Dedicarse;A1-A2;Trabajo;Profesiones
Dedicarse a;A1-A2;Trabajo;Profesiones
Dedo;A1-A2;Salud e higiene;Cuerpo e higiene personal
Defender una tesis;B2;Educación;Educación
Deforestación;B2;Medioambiente;Problemas medioambientales
Degradar;B2;Medioambiente;Problemas medioambientales
Dejar;B1;Individuo y relaciones personales;Relaciones personales
Dejar a;B1;Individuo y relaciones personales;Relaciones personales
Dejar propina;A1-A2;Alimentación;En el restaurante
Dejar un mensaje;B1;Medios de comunicación;Teléfono
Delantal;B1;Labores domésticas;Labores domésticas
Delfín;B1;Geografía y naturaleza;Safari fotográfico
Delgado;A1-A2;Individuo y relaciones personales;Descripción física
Delincuente;B2;Justicia;Ley y orden
Delito;B2;Justicia;Ley y orden
Demanda de empleo;B1;Trabajo;Trabajo
Densidad;B2;Ciencia y tecnología;Ciencia y tecnología
Densidad de población;B2;Medioambiente;Problemas medioambientales
Dentista;B1;Salud y cuidados personales;En el hospital
Dentro;A1-A2;Trabajo;En la oficina
Dentro de;A1-A2;Información y medios de comunicación;Localización
Denuncia;B1;Justicia;En el juzgado
Denunciar;B2;Justicia;Ley y orden
Departamento comercial;B1;Trabajo;Trabajo
Departamento de administración;B1;Trabajo;Trabajo
Departamento de investigación y desarrollo;B1;Trabajo;Trabajo
Departamento de marketing;B1;Trabajo;Trabajo
Departamento de producción;B1;Trabajo;Trabajo
Departamento financiero;B1;Trabajo;Trabajo
Dependiente;A1-A2;Trabajo;Profesiones
Depilarse;B1;Salud y cuidados personales;El cuerpo humano y la salud
Depilarse las cejas;B1;Salud y cuidados personales;El cuerpo humano y la salud
Depilarse las piernas;B1;Salud y cuidados personales;El cuerpo humano y la salud
Deporte;A1-A2;Ocio;Deportes
Deportista;B2;Ocio;Deportes
Deportivas;A1-A2;Compras y tiendas;Complementos y calzados
Depositar en cuenta;B2;Economía;Economía y finanzas
Depresión;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Deprimido;B2;Salud y cuidados personales;Salud y enfermedad
Deprimirse;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Depuradora;B2;Medioambiente;Problemas medioambientales
Derecho civil;B2;Justicia;Ley y orden
Derecho penal;B2;Justicia;Ley y orden
Derechos;B1;Justicia;En el juzgado
Dermatología;B1;Salud y cuidados personales;En el hospital
Desahucio;B2;Vivienda;La vivienda
Desalojo;B2;Vivienda;La vivienda
Desarrollo sostenible;B1;Medioambiente;Problemas medioambientales
Desastres naturales;B1;Medioambiente;Desastres naturales
Desayunar;A1-A2;Individuo y relaciones personales;Acciones cotidianas
Desayuno;A1-A2;Viajes, transportes y alojamiento;En el hotel
Descansar;B1;Ocio;Tiempo libre y entretenimiento
Descanso;B1;Ocio;Tiempo libre y entretenimiento
Descargar;B1;Medios de comunicación;Internet
Descolgar el teléfono;A1-A2;Información y medios de comunicación;Teléfono
Descoserse;B2;Compras y tiendas;De compras
Descubrimiento;B2;Ciencia y tecnología;Ciencia y tecnología
Descuento;B1;Compras y tiendas;De compras
Desempleado;A1-A2;Trabajo;Profesiones
Desempleo;A1-A2;Trabajo;Profesiones
Desenchufar;B1;Labores domésticas;Labores domésticas
Desengaño;B2;Individuo y relaciones personales;Valores y comportamientos personales
Desertización;B2;Medioambiente;Problemas medioambientales
Deshielo;B2;Medioambiente;Problemas medioambientales
Desierto;A1-A2;Geografía y naturaleza;Accidentes geográficos
Desinfectante;B2;Salud y cuidados personales;Salud y enfermedad
Desmayo;B2;Salud y cuidados personales;Salud y enfermedad
Desodorante;A1-A2;Salud e higiene;Cuerpo e higiene personal
Despacho;A1-A2;Vivienda;Casa
Despedir;B1;Trabajo;Trabajo
Despegar;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Despegue;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Desperdicios;B2;Medioambiente;Problemas medioambientales
Despertador;A1-A2;Vivienda;Dormitorio
Destinatario;B1;Servicios;Servicio postal
Destino;A1-A2;Viajes, transportes y alojamiento;Medios de transporte
Detener;B2;Justicia;Ley y orden
Detergente;B1;Labores domésticas;Labores domésticas
Detestar;B2;Individuo y relaciones personales;Valores y comportamientos personales
Deudor;B2;Vivienda;La vivienda
Devolución;B2;Compras y tiendas;De compras
Devolver;B1;Compras y tiendas;De compras
Devolver una llamada;B1;Medios de comunicación;Teléfono
Diabetes;B2;Salud y cuidados personales;Salud y enfermedad
Diagnóstico;B2;Salud y cuidados personales;Salud y enfermedad
Diagonal;B2;Ciencia y tecnología;Ciencia y tecnología
Dibujar;A1-A2;Educación;Objetos y acciones del aula
Diccionario;A1-A2;Educación;Objetos y acciones del aula
Diciembre;A1-A2;Fecha y hora;Meses
Diecinueve;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Dieciocho;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Diecisiete;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Dieciséis;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Diente;A1-A2;Salud e higiene;Cuerpo e higiene personal
Dieta alta en calorías;B1;Alimentación;Alimentación sana / menús, platos, recetas
Dieta baja en calorías;B1;Alimentación;Alimentación sana / menús, platos, recetas
Dieta equilibrada;B1;Alimentación;Alimentación sana / menús, platos, recetas
Dieta mediterránea;B1;Alimentación;Alimentación sana / menús, platos, recetas
Diez;A1-A2;Información y medios de comunicación;Números ordinales y cardinales
Dinero;A1-A2;Trabajo;Profesiones
Dinero en efectivo;B1;Economía;Economía
Dinero en metálico;B1;Economía;Economía
Dirección;B1;Medios de comunicación;Internet
Dirección de Internet;A1-A2;Información y medios de comunicación;Internet
Dirección de correo electrónico;A1-A2;Información y medios de comunicación;Internet
Dirección prohibida;B2;Viajes, alojamiento y transportes;Viajes y transportes
Dirección única;B2;Viajes, alojamiento y transportes;Viajes y transportes
Director;B1;Artes;Cine
Director de orquesta;B1;Artes;Música y danza
Disco;B1;Ocio;Deportes de invierno y aventura
Discoteca;B1;Ocio;Tiempo libre y entretenimiento
Disculpe;A1-A2;Relaciones sociales;Saludos
Discusión;B1;Individuo y relaciones personales;Relaciones personales
Discutir;B1;Individuo y relaciones personales;Relaciones personales
Disfrutar;B2;Individuo y relaciones personales;Valores y comportamientos personales
Disfrutar de;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Disgustado;B2;Individuo y relaciones personales;Valores y comportamientos personales
Disparar;B2;Artes;Cine y fotografía
Disponibilidad total;B1;Trabajo;Trabajo
Distancia;B1;Formas y medidas;Formas y medidas
Distribución;B2;Compras y tiendas;De compras
Distribuir;B2;Compras y tiendas;De compras
Diversión;B2;Ocio;Juegos y pasatiempos
Divertido;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Divertirse;B1;Individuo y relaciones personales;Sentimientos y estados de ánimo
Divorciado;B1;Individuo y relaciones personales;Relaciones personales
Divorciarse;B1;Individuo y relaciones personales;Relaciones personales
Divorcio;B1;Individuo y relaciones personales;Relaciones personales
Diálogo;B2;Artes;Literatura y teatro
Diésel;B1;Viajes, alojamiento y transporte;La conducción
Doblaje;B2;Artes;Cine y fotografía
Doblar la cintura;B1;Salud y cuidados personales;El cuerpo humano y la salud
